M<->R containerM:['56517394'] | containerR:['77424112'] | not better, but acccepted. | T= 937974963.8 | Number: 293
M<->R containerM:['85236250'] | containerR:['77424112'] | better score! | T= 937036988.9 | Number: 293
M<->R containerM:['68646201'] | containerR:['77424112'] | not better, but acccepted. | T= 936099951.9 | Number: 293
M<->R containerM:['61095390'] | containerR:['77424112'] | not better, but acccepted. | T= 935163851.9 | Number: 293
M<->R containerM:['23727728'] | containerR:['77424112'] | better score! | T= 934228688.1 | Number: 293
M<->R containerM:['26695468'] | containerR:['77424112'] | not better, but acccepted. | T= 933294459.4 | Number: 293
M<->R containerM:['38569876'] | containerR:['77424112'] | not better, but acccepted. | T= 932361164.9 | Number: 293
M<->R containerM:['83678735'] | containerR:['77424112'] | better score! | T= 931428803.8 | Number: 293
M<->R containerM:['76839857'] | containerR:['77424112'] | not better, but acccepted. | T= 930497375.0 | Number: 293
M<->R containerM:['85296118'] | containerR:['77424112'] | not better, but acccepted. | T= 929566877.6 | Number: 293
M<->R containerM:['31113424'] | containerR:['77424112'] | better score! | T= 928637310.7 | Number: 293
M<->R containerM:['40188339'] | containerR:['77424112'] | not better, but acccepted. | T= 927708673.4 | Number: 293
M<->R containerM:['88349496'] | containerR:['86473193'] | not better, but acccepted. | T= 926780964.7 | Number: 293
M<->R containerM:['89357542'] | containerR:['86473193'] | not better, but acccepted. | T= 925854183.8 | Number: 293
M<->R containerM:['43343799'] | containerR:['86473193'] | better score! | T= 924928329.6 | Number: 293
M<->R containerM:['24915064'] | containerR:['86473193'] | not better, but acccepted. | T= 924003401.2 | Number: 293
M<->R containerM:['87981724'] | containerR:['86473193'] | better score! | T= 923079397.8 | Number: 293
M<->R containerM:['30648749'] | containerR:['86473193'] | not better, but acccepted. | T= 922156318.4 | Number: 293
M<->R containerM:['87981724'] | containerR:['86473193'] | better score! | T= 921234162.1 | Number: 293
M<->R containerM:['68646201'] | containerR:['86473193'] | not better, but acccepted. | T= 920312928.0 | Number: 293
M<->R containerM:['76839857'] | containerR:['86473193'] | not better, but acccepted. | T= 919392615.0 | Number: 293
M<->R containerM:['38577486'] | containerR:['86473193'] | not better, but acccepted. | T= 918473222.4 | Number: 293
M<->R containerM:['95324547'] | containerR:['86473193'] | not better, but acccepted. | T= 917554749.2 | Number: 293
M<->R containerM:['83161317'] | containerR:['86473193'] | better score! | T= 916637194.4 | Number: 293
M<->R containerM:['94230879'] | containerR:['86473193'] | not better, but acccepted. | T= 915720557.2 | Number: 293
M<->R containerM:['90629724'] | containerR:['86473193'] | not better, but acccepted. | T= 914804836.7 | Number: 293
M<->R containerM:['90748645'] | containerR:['86473193'] | not better, but acccepted. | T= 913890031.9 | Number: 293
M<->R containerM:['43118612'] | containerR:['86473193'] | better score! | T= 912976141.8 | Number: 293
