M<->R containerM:['88708842'] | containerR:['16521560'] | not better, but acccepted. | T= 937974963.8 | Number: 422
M<->R containerM:['55312847'] | containerR:['16521560'] | not better, but acccepted. | T= 937036988.9 | Number: 422
M<->R containerM:['20107277'] | containerR:['16521560'] | not better, but acccepted. | T= 936099951.9 | Number: 422
M<->R containerM:['75802557'] | containerR:['16521560'] | not better, but acccepted. | T= 935163851.9 | Number: 422
M<->R containerM:['39635756'] | containerR:['16521560'] | not better, but acccepted. | T= 934228688.1 | Number: 422
M<->R containerM:['57876325'] | containerR:['16521560'] | not better, but acccepted. | T= 933294459.4 | Number: 422
M<->R containerM:['98781169'] | containerR:['16521560'] | better score! | T= 932361164.9 | Number: 422
M<->R containerM:['90629724'] | containerR:['16521560'] | not better, but acccepted. | T= 931428803.8 | Number: 422
M<->R containerM:['82854414'] | containerR:['16521560'] | not better, but acccepted. | T= 930497375.0 | Number: 422
M<->R containerM:['60675722'] | containerR:['16521560'] | not better, but acccepted. | T= 929566877.6 | Number: 422
M<->R containerM:['27327974'] | containerR:['16521560'] | not better, but acccepted. | T= 928637310.7 | Number: 422
M<->R containerM:['50271756'] | containerR:['16521560'] | better score! | T= 927708673.4 | Number: 422
M<->R containerM:['98781169'] | containerR:['16521560'] | not better, but acccepted. | T= 926780964.7 | Number: 422
M<->R containerM:['52729504'] | containerR:['16521560'] | not better, but acccepted. | T= 925854183.8 | Number: 422
M<->R containerM:['51957035'] | containerR:['16521560'] | not better, but acccepted. | T= 924928329.6 | Number: 422
M<->R containerM:['41347415'] | containerR:['16521560'] | better score! | T= 924003401.2 | Number: 422
M<->R containerM:['58747026'] | containerR:['16521560'] | not better, but acccepted. | T= 923079397.8 | Number: 422
M<->R containerM:['21221160'] | containerR:['16521560'] | not better, but acccepted. | T= 922156318.4 | Number: 422
M<->R containerM:['74479790'] | containerR:['16521560'] | not better, but acccepted. | T= 921234162.1 | Number: 422
M<->R containerM:['48283165'] | containerR:['16521560'] | not better, but acccepted. | T= 920312928.0 | Number: 422
M<->R containerM:['48218981'] | containerR:['16521560'] | not better, but acccepted. | T= 919392615.0 | Number: 422
M<->R containerM:['52729504'] | containerR:['16521560'] | better score! | T= 918473222.4 | Number: 422
M<->R containerM:['62541965'] | containerR:['16521560'] | not better, but acccepted. | T= 917554749.2 | Number: 422
M<->R containerM:['50054241'] | containerR:['39635756'] | not better, but acccepted. | T= 916637194.4 | Number: 422
M<->R containerM:['89357542'] | containerR:['39635756'] | better score! | T= 915720557.2 | Number: 422
M<->R containerM:['61383030'] | containerR:['39635756'] | not better, but acccepted. | T= 914804836.7 | Number: 422
M<->R containerM:['19824670'] | containerR:['39635756'] | not better, but acccepted. | T= 913890031.9 | Number: 422
M<->R containerM:['79988590'] | containerR:['39635756'] | better score! | T= 912976141.8 | Number: 422
M<->R containerM:['66042029'] | containerR:['39635756'] | not better, but acccepted. | T= 912063165.7 | Number: 422
M<->R containerM:['61383030'] | containerR:['39635756'] | not better, but acccepted. | T= 911151102.5 | Number: 422
M<->R containerM:['95756060'] | containerR:['39635756'] | not better, but acccepted. | T= 910239951.4 | Number: 422
M<->R containerM:['14753231'] | containerR:['39635756'] | not better, but acccepted. | T= 909329711.5 | Number: 422
M<->R containerM:['67144693'] | containerR:['39635756'] | better score! | T= 908420381.8 | Number: 422
M<->R containerM:['79988590'] | containerR:['39635756'] | not better, but acccepted. | T= 907511961.4 | Number: 422
M<->R containerM:['55312847'] | containerR:['39635756'] | not better, but acccepted. | T= 906604449.4 | Number: 422
M<->R containerM:['52863358'] | containerR:['39635756'] | not better, but acccepted. | T= 905697845.0 | Number: 422
M<->R containerM:['85296118'] | containerR:['39635756'] | better score! | T= 904792147.1 | Number: 422
M<->R containerM:['41226346'] | containerR:['39635756'] | not better, but acccepted. | T= 903887355.0 | Number: 422
M<->R containerM:['36207520'] | containerR:['39635756'] | not better, but acccepted. | T= 902983467.6 | Number: 422
M<->R containerM:['90139478'] | containerR:['39635756'] | better score! | T= 902080484.1 | Number: 422
M<->R containerM:['17023482'] | containerR:['39635756'] | better score! | T= 901178403.7 | Number: 422
M<->R containerM:['52995730'] | containerR:['39635756'] | not better, but acccepted. | T= 900277225.3 | Number: 422
M<->R containerM:['95691280'] | containerR:['39635756'] | not better, but acccepted. | T= 899376948.0 | Number: 422
M<->R containerM:['65685588'] | containerR:['39635756'] | not better, but acccepted. | T= 898477571.1 | Number: 422
M<->R containerM:['67144693'] | containerR:['39635756'] | better score! | T= 897579093.5 | Number: 422
M<->R containerM:['65685588'] | containerR:['39635756'] | not better, but acccepted. | T= 896681514.4 | Number: 422
M<->R containerM:['22098853'] | containerR:['39635756'] | better score! | T= 895784832.9 | Number: 422
M<->R containerM:['82854414'] | containerR:['39635756'] | not better, but acccepted. | T= 894889048.1 | Number: 422
M<->R containerM:['48516100'] | containerR:['39635756'] | better score! | T= 893994159.0 | Number: 422
M<->R containerM:['92896992'] | containerR:['39635756'] | not better, but acccepted. | T= 893100164.9 | Number: 422
M<->R containerM:['24288677'] | containerR:['39635756'] | better score! | T= 892207064.7 | Number: 422
M<->R containerM:['27414683'] | containerR:['39635756'] | not better, but acccepted. | T= 891314857.6 | Number: 422
M<->R containerM:['67538618'] | containerR:['69563748', '39635756'] | not better, but acccepted. | T= 890423542.8 | Number: 422
M<->R containerM:['11081410'] | containerR:['88960928'] | better score! | T= 889533119.2 | Number: 422
M<->R containerM:['65685588'] | containerR:['88960928'] | not better, but acccepted. | T= 888643586.1 | Number: 422
M<->R containerM:['90629724'] | containerR:['88960928'] | better score! | T= 887754942.5 | Number: 422
M<->R containerM:['78334793'] | containerR:['88960928'] | not better, but acccepted. | T= 886867187.6 | Number: 422
M<->R containerM:['15606438'] | containerR:['88960928'] | better score! | T= 885980320.4 | Number: 422
M<->R containerM:['36207520'] | containerR:['88960928'] | not better, but acccepted. | T= 885094340.1 | Number: 422
M<->R containerM:['41347415'] | containerR:['88960928'] | better score! | T= 884209245.7 | Number: 422
M<->R containerM:['39635756'] | containerR:['69563748', '88960928'] | not better, but acccepted. | T= 883325036.5 | Number: 422
M<->R containerM:['20107277'] | containerR:['39635756'] | not better, but acccepted. | T= 882441711.5 | Number: 422
M<->R containerM:['10465146'] | containerR:['39635756'] | better score! | T= 881559269.7 | Number: 422
M<->R containerM:['74274006'] | containerR:['39635756'] | not better, but acccepted. | T= 880677710.5 | Number: 422
M<->R containerM:['19228099'] | containerR:['39635756'] | better score! | T= 879797032.8 | Number: 422
M<->R containerM:['48049563'] | containerR:['39635756'] | not better, but acccepted. | T= 878917235.7 | Number: 422
M<->R containerM:['45216707'] | containerR:['39635756'] | better score! | T= 878038318.5 | Number: 422
M<->R containerM:['98781169'] | containerR:['39635756'] | not better, but acccepted. | T= 877160280.2 | Number: 422
M<->R containerM:['21221160'] | containerR:['39635756'] | not better, but acccepted. | T= 876283119.9 | Number: 422
M<->R containerM:['23154228'] | containerR:['39635756'] | better score! | T= 875406836.8 | Number: 422
M<->R containerM:['71981435'] | containerR:['39635756'] | not better, but acccepted. | T= 874531429.9 | Number: 422
M<->R containerM:['49004975'] | containerR:['39635756'] | better score! | T= 873656898.5 | Number: 422
M<->R containerM:['48218981'] | containerR:['39635756'] | not better, but acccepted. | T= 872783241.6 | Number: 422
M<->R containerM:['69538525'] | containerR:['39635756'] | not better, but acccepted. | T= 871910458.4 | Number: 422
M<->R containerM:['39774950'] | containerR:['39635756'] | better score! | T= 871038547.9 | Number: 422
M<->R containerM:['66042029'] | containerR:['39635756'] | better score! | T= 870167509.4 | Number: 422
M<->R containerM:['59741775'] | containerR:['39635756'] | not better, but acccepted. | T= 869297341.9 | Number: 422
M<->R containerM:['61171963'] | containerR:['39635756'] | not better, but acccepted. | T= 868428044.5 | Number: 422
M<->R containerM:['49004975'] | containerR:['39635756'] | better score! | T= 867559616.5 | Number: 422
M<->R containerM:['23664583'] | containerR:['39635756'] | not better, but acccepted. | T= 866692056.9 | Number: 422
M<->R containerM:['48049563'] | containerR:['39635756'] | not better, but acccepted. | T= 865825364.8 | Number: 422
M<->R containerM:['24288677'] | containerR:['39635756'] | better score! | T= 864959539.4 | Number: 422
M<->R containerM:['77301913'] | containerR:['39635756'] | not better, but acccepted. | T= 864094579.9 | Number: 422
M<->R containerM:['85296118'] | containerR:['39635756'] | better score! | T= 863230485.3 | Number: 422
M<->R containerM:['18397911'] | containerR:['39635756'] | not better, but acccepted. | T= 862367254.8 | Number: 422
M<->R containerM:['15868586'] | containerR:['39635756'] | not better, but acccepted. | T= 861504887.6 | Number: 422
M<->R containerM:['76839857'] | containerR:['39635756'] | better score! | T= 860643382.7 | Number: 422
M<->R containerM:['39774950'] | containerR:['39635756'] | not better, but acccepted. | T= 859782739.3 | Number: 422
M<->R containerM:['90748645'] | containerR:['39635756'] | not better, but acccepted. | T= 858922956.6 | Number: 422
M<->R containerM:['64083626'] | containerR:['39635756'] | better score! | T= 858064033.6 | Number: 422
M<->R containerM:['20107277'] | containerR:['39635756'] | not better, but acccepted. | T= 857205969.6 | Number: 422
M<->R containerM:['23664583'] | containerR:['39635756'] | better score! | T= 856348763.6 | Number: 422
M<->R containerM:['46677868'] | containerR:['39635756'] | not better, but acccepted. | T= 855492414.8 | Number: 422
M<->R containerM:['56444787'] | containerR:['39635756'] | better score! | T= 854636922.4 | Number: 422
M<->R containerM:['65685588'] | containerR:['39635756'] | not better, but acccepted. | T= 853782285.5 | Number: 422
M<->R containerM:['43321603'] | containerR:['39635756'] | better score! | T= 852928503.2 | Number: 422
M<->R containerM:['71875611'] | containerR:['39635756'] | not better, but acccepted. | T= 852075574.7 | Number: 422
M<->R containerM:['70923221'] | containerR:['39635756'] | better score! | T= 851223499.1 | Number: 422
M<->R containerM:['28866388'] | containerR:['39635756'] | not better, but acccepted. | T= 850372275.6 | Number: 422
M<->R containerM:['82854414'] | containerR:['39635756'] | not better, but acccepted. | T= 849521903.4 | Number: 422
M<->R containerM:['65395765'] | containerR:['39635756'] | not better, but acccepted. | T= 848672381.5 | Number: 422
M<->R containerM:['27414683'] | containerR:['39635756'] | not better, but acccepted. | T= 847823709.1 | Number: 422
M<->R containerM:['58747026'] | containerR:['39635756'] | better score! | T= 846975885.4 | Number: 422
M<->R containerM:['60919573'] | containerR:['39635756'] | better score! | T= 846128909.5 | Number: 422
M<->R containerM:['83154690'] | containerR:['39635756'] | not better, but acccepted. | T= 845282780.6 | Number: 422
M<->R containerM:['65395765'] | containerR:['39635756'] | not better, but acccepted. | T= 844437497.8 | Number: 422
M<->R containerM:['71981435'] | containerR:['14753231'] | not better, but acccepted. | T= 843593060.3 | Number: 422
M<->R containerM:['48049563'] | containerR:['14753231'] | not better, but acccepted. | T= 842749467.2 | Number: 422
M<->R containerM:['19296395'] | containerR:['14753231'] | not better, but acccepted. | T= 841906717.8 | Number: 422
M<->R containerM:['50054241'] | containerR:['14753231'] | better score! | T= 841064811.0 | Number: 422
M<->R containerM:['28502512'] | containerR:['14753231'] | not better, but acccepted. | T= 840223746.2 | Number: 422
M<->R containerM:['82854414'] | containerR:['14753231'] | not better, but acccepted. | T= 839383522.5 | Number: 422
M<->R containerM:['19960762'] | containerR:['14753231'] | better score! | T= 838544139.0 | Number: 422
M<->R containerM:['23664583'] | containerR:['14753231'] | not better, but acccepted. | T= 837705594.8 | Number: 422
M<->R containerM:['67010814'] | containerR:['14753231'] | not better, but acccepted. | T= 836867889.2 | Number: 422
M<->R containerM:['82454139'] | containerR:['14753231'] | not better, but acccepted. | T= 836031021.3 | Number: 422
M<->R containerM:['28866388'] | containerR:['14753231'] | not better, but acccepted. | T= 835194990.3 | Number: 422
M<->R containerM:['89252984'] | containerR:['14753231'] | not better, but acccepted. | T= 834359795.3 | Number: 422
M<->R containerM:['23154228'] | containerR:['14753231'] | not better, but acccepted. | T= 833525435.5 | Number: 422
M<->R containerM:['36207520'] | containerR:['14753231'] | not better, but acccepted. | T= 832691910.1 | Number: 422
M<->R containerM:['15606438'] | containerR:['14753231'] | better score! | T= 831859218.2 | Number: 422
M<->R containerM:['19228099'] | containerR:['14753231'] | not better, but acccepted. | T= 831027359.0 | Number: 422
M<->R containerM:['65685588'] | containerR:['14753231'] | not better, but acccepted. | T= 830196331.6 | Number: 422
M<->R containerM:['19296395'] | containerR:['14753231'] | not better, but acccepted. | T= 829366135.3 | Number: 422
M<->R containerM:['41347415'] | containerR:['14753231'] | better score! | T= 828536769.2 | Number: 422
M<->R containerM:['90139478'] | containerR:['14753231'] | not better, but acccepted. | T= 827708232.4 | Number: 422
M<->R containerM:['18397911'] | containerR:['14753231'] | not better, but acccepted. | T= 826880524.1 | Number: 422
M<->R containerM:['77301913'] | containerR:['14753231'] | better score! | T= 826053643.6 | Number: 422
M<->R containerM:['64083626'] | containerR:['14753231'] | not better, but acccepted. | T= 825227590.0 | Number: 422
M<->R containerM:['21221160'] | containerR:['14753231'] | better score! | T= 824402362.4 | Number: 422
M<->R containerM:['53968474'] | containerR:['14753231'] | not better, but acccepted. | T= 823577960.0 | Number: 422
